,t,precision,n
0,12,0.1,100
1,24,0.07547169811320754,53
2,36,0.1276595744680851,47
3,48,0.10344827586206896,29
4,60,0.21739130434782608,23
5,72,0.041666666666666664,24
6,84,0.041666666666666664,24
7,96,0.1,100
8,108,0.02,50
9,120,0.18,50
10,132,0.0,25
11,144,0.12,25
12,156,0.04,25
13,168,0.24,25
14,180,0.1,100
15,192,0.16,50
16,204,0.04,50
17,216,0.04,25
18,228,0.12,25
19,240,0.04,25
20,252,0.2,25
21,264,0.1,100
22,276,0.16,50
23,288,0.04,50
24,300,0.04,25
25,312,0.24,25
26,324,0.04,25
27,336,0.08,25
28,348,0.1,100
29,360,0.04,50
30,372,0.16,50
31,384,0.04,25
32,396,0.28,25
33,408,0.04,25
34,420,0.04,25
35,432,0.1,100
36,444,0.04,50
37,456,0.16,50
38,468,0.0,25
39,480,0.28,25
40,492,0.08,25
41,504,0.04,25
42,516,0.1,100
43,528,0.04,50
44,540,0.16,50
45,552,0.04,25
46,564,0.04,25
47,576,0.04,25
48,588,0.28,25
