,t,recall,n
0,12,1.0,100
1,24,0.4,53
2,36,0.6,47
3,48,0.3,29
4,60,0.5,23
5,72,0.1,24
6,84,0.1,24
7,96,1.0,100
8,108,0.1,50
9,120,0.9,50
10,132,0.0,25
11,144,0.3,25
12,156,0.1,25
13,168,0.6,25
14,180,1.0,100
15,192,0.8,50
16,204,0.2,50
17,216,0.1,25
18,228,0.3,25
19,240,0.1,25
20,252,0.5,25
21,264,1.0,100
22,276,0.8,50
23,288,0.2,50
24,300,0.1,25
25,312,0.6,25
26,324,0.1,25
27,336,0.2,25
28,348,1.0,100
29,360,0.2,50
30,372,0.8,50
31,384,0.1,25
32,396,0.7,25
33,408,0.1,25
34,420,0.1,25
35,432,1.0,100
36,444,0.2,50
37,456,0.8,50
38,468,0.0,25
39,480,0.7,25
40,492,0.2,25
41,504,0.1,25
42,516,1.0,100
43,528,0.2,50
44,540,0.8,50
45,552,0.1,25
46,564,0.1,25
47,576,0.1,25
48,588,0.7,25
