,t,precision,n
0,12,0.03333333333333333,300
1,24,0.046052631578947366,152
2,36,0.02027027027027027,148
3,48,0.06756756756756757,74
4,60,0.02666666666666667,75
5,72,0.0136986301369863,73
6,84,0.03333333333333333,300
7,96,0.04,150
8,108,0.02666666666666667,150
9,120,0.02666666666666667,75
10,132,0.013333333333333334,75
11,144,0.02666666666666667,75
12,156,0.06666666666666667,75
13,168,0.03333333333333333,300
14,180,0.02,150
15,192,0.04666666666666667,150
16,204,0.013333333333333334,75
17,216,0.04,75
18,228,0.02666666666666667,75
19,240,0.05333333333333334,75
20,252,0.03333333333333333,300
21,264,0.02,150
22,276,0.04666666666666667,150
23,288,0.02666666666666667,75
24,300,0.06666666666666667,75
25,312,0.013333333333333334,75
26,324,0.02666666666666667,75
27,336,0.03333333333333333,300
28,348,0.02,150
29,360,0.04666666666666667,150
30,372,0.013333333333333334,75
31,384,0.06666666666666667,75
32,396,0.02666666666666667,75
33,408,0.02666666666666667,75
34,420,0.03333333333333333,300
35,432,0.04666666666666667,150
36,444,0.02,150
37,456,0.013333333333333334,75
38,468,0.02666666666666667,75
39,480,0.02666666666666667,75
40,492,0.06666666666666667,75
41,504,0.03333333333333333,300
42,516,0.02,150
43,528,0.04666666666666667,150
44,540,0.013333333333333334,75
45,552,0.013333333333333334,75
46,564,0.02666666666666667,75
47,576,0.08,75
48,588,0.03333333333333333,300
