,x,y
0,13,-27.54889706916602
1,14,-27.54889706916602
2,15,-27.54889706916602
3,16,-27.54889706916602
4,17,-27.54889706916602
5,18,-27.54889706916602
6,19,-27.54889706916602
7,20,-27.54889706916602
8,21,-27.54889706916602
9,22,-27.54889706916602
10,23,-27.54889706916602
11,24,-27.54889706916602
12,25,-27.54889706916602
13,26,-27.54889706916602
14,27,-27.54889706916602
15,28,-27.54889706916602
16,29,-27.54889706916602
17,30,-27.54889706916602
18,31,-27.54889706916602
19,32,-27.54889706916602
20,33,-27.54889706916602
21,34,-27.54889706916602
22,35,-27.54889706916602
23,36,-27.54889706916602
24,37,-27.54889706916602
25,38,-27.54889706916602
26,39,-27.54889706916602
27,40,-27.54889706916602
28,41,-27.54889706916602
29,42,-27.54889706916602
30,43,-27.54889706916602
31,44,-27.54889706916602
32,45,-27.54889706916602
33,46,-27.54889706916602
34,47,-27.54889706916602
35,48,-27.54889706916602
36,49,-27.54889706916602
37,50,-27.54889706916602
38,51,-27.54889706916602
39,52,-27.54889706916602
40,53,-27.54889706916602
41,54,-27.54889706916602
42,55,-27.54889706916602
43,56,-27.54889706916602
44,57,-27.54889706916602
45,58,-27.54889706916602
46,59,-27.54889706916602
47,60,-27.54889706916602
48,61,-27.54889706916602
49,62,-27.54889706916602
50,63,-27.54889706916602
51,64,-27.54889706916602
52,65,-27.54889706916602
53,66,-27.54889706916602
54,67,-27.54889706916602
55,68,-27.54889706916602
56,69,-27.54889706916602
57,70,-27.54889706916602
58,71,-27.54889706916602
59,72,-27.54889706916602
60,73,-27.54889706916602
61,74,-27.54889706916602
62,75,-27.54889706916602
63,76,-27.54889706916602
64,77,-16.364886920632
65,78,-16.364886920632
66,79,-16.364886920632
67,80,-16.364886920632
68,81,-16.364886920632
69,82,-16.364886920632
70,83,-16.364886920632
71,84,-16.364886920632
72,85,-16.364886920632
73,86,-16.364886920632
74,87,-16.364886920632
75,88,-16.364886920632
76,89,-16.364886920632
77,90,-16.364886920632
78,91,-16.364886920632
79,92,-16.364886920632
80,93,-16.364886920632
81,94,-16.364886920632
82,95,-16.364886920632
83,96,-16.364886920632
84,97,-16.364886920632
85,98,-16.364886920632
86,99,-16.364886920632
87,100,-16.364886920632
88,101,-16.364886920632
89,102,-16.364886920632
90,103,-16.364886920632
91,104,-16.364886920632
92,105,-16.364886920632
93,106,-16.364886920632
94,107,-16.364886920632
95,108,-16.364886920632
