,t,recall,n
0,12,1.0,100
1,24,0.6666666666666666,50
2,36,0.3333333333333333,50
3,48,0.16666666666666666,27
4,60,0.16666666666666666,23
5,72,0.16666666666666666,13
6,84,1.0,100
7,96,0.16666666666666666,50
8,108,0.8333333333333334,50
9,120,0.16666666666666666,25
10,132,0.0,25
11,144,0.0,12
12,156,0.0,13
13,168,0.0,12
14,180,1.0,100
15,192,0.16666666666666666,50
16,204,0.8333333333333334,50
17,216,0.16666666666666666,25
18,228,0.0,25
19,240,0.0,12
20,252,0.0,13
21,264,0.0,13
22,276,0.0,6
23,288,1.0,100
24,300,0.0,50
25,312,1.0,50
26,324,0.0,25
27,336,0.0,25
28,348,0.0,13
29,360,0.0,12
30,372,0.0,13
31,384,0.0,6
32,396,1.0,100
33,408,0.0,50
34,420,1.0,50
35,432,0.0,25
36,444,0.0,25
37,456,0.0,13
38,468,0.0,12
39,480,0.0,12
40,492,1.0,100
41,504,1.0,50
42,516,0.0,50
43,528,0.0,25
44,540,0.0,25
45,552,0.0,13
46,564,0.0,13
47,576,0.0,12
48,588,0.0,6
