,t,recall,n
0,12,1.0,300
1,24,0.6666666666666666,138
2,36,0.3333333333333333,162
3,48,0.16666666666666666,79
4,60,0.16666666666666666,83
5,72,0.16666666666666666,42
6,84,0.0,41
7,96,0.0,21
8,108,0.0,21
9,120,1.0,300
10,132,0.8333333333333334,150
11,144,0.16666666666666666,150
12,156,0.0,75
13,168,0.16666666666666666,75
14,180,0.0,38
15,192,0.16666666666666666,37
16,204,0.0,38
17,216,0.0,19
18,228,0.0,19
19,240,1.0,300
20,252,0.8333333333333334,150
21,264,0.16666666666666666,150
22,276,0.16666666666666666,75
23,288,0.0,75
24,300,0.0,38
25,312,0.0,37
26,324,0.16666666666666666,38
27,336,0.0,19
28,348,0.0,19
29,360,1.0,300
30,372,0.8333333333333334,150
31,384,0.16666666666666666,150
32,396,0.16666666666666666,75
33,408,0.0,75
34,420,0.0,37
35,432,0.0,38
36,444,0.16666666666666666,37
37,456,1.0,300
38,468,0.16666666666666666,150
39,480,0.8333333333333334,150
40,492,0.0,75
41,504,0.16666666666666666,75
42,516,0.0,38
43,528,0.16666666666666666,37
44,540,0.0,75
45,552,1.0,300
46,564,0.8333333333333334,150
47,576,0.16666666666666666,150
48,588,0.16666666666666666,75
